-188.060, 34.583, 5.970
-188.060, 33.946, 6.633
-188.059, 33.259, 7.032
-188.059, 31.333, 7.289
-188.058, 30.608, 7.236
-188.058, 29.890, 7.154
-188.057, 28.021, 6.889
-188.056, 27.338, 6.788
-188.056, 26.665, 6.690
-188.055, 24.918, 6.429
-188.055, 24.280, 6.328
-188.055, 23.034, 6.139
-188.054, 22.425, 6.051
-188.054, 21.824, 5.967
-188.054, 21.232, 5.886
-188.053, 19.500, 5.661
-188.053, 18.939, 5.522
-188.053, 18.434, 4.451
-188.058, 15.067, 5.401
-188.059, 14.302, 5.976
-188.061, 13.277, 6.269
-188.062, 12.650, 6.307
-188.063, 12.021, 6.296
-188.066, 10.165, 6.057
-188.066, 9.563, 5.975
-188.067, 8.968, 5.895
-188.068, 7.804, 5.742
-188.069, 4.995, 5.718
-188.070, 3.431, 5.910
-188.070, 2.840, 5.899
-188.070, 2.251, 5.868
-188.071, 1.667, 5.822
-188.071, 0.895, 5.749
-188.071, -0.055, 5.648
-188.071, -0.616, 5.586
-188.071, -1.172, 5.524
-188.071, -1.725, 5.544
-188.072, -2.871, 5.848
-188.072, -3.460, 5.904
-188.072, -4.052, 5.914
-188.072, -5.231, 5.859
-188.073, -5.814, 5.810
-188.073, -7.343, 5.643
-188.073, -7.905, 5.579
-188.073, -8.460, 5.511
-188.074, -9.013, 5.528
-188.074, -10.154, 5.832
-188.074, -10.741, 5.889
-188.074, -11.330, 5.898
-188.075, -12.504, 5.843
-188.075, -13.086, 5.796
-188.075, -14.234, 5.682
-188.075, -14.799, 5.621
-188.075, -15.358, 5.559
-188.076, -17.037, 5.768
-188.076, -18.803, 5.908
-188.076, -19.393, 5.883
-188.077, -21.328, 5.715
-188.077, -21.896, 5.654
-188.077, -22.645, 5.571
-188.077, -23.568, 5.550
-188.078, -24.134, 5.725
-188.078, -25.306, 5.910
-188.078, -25.898, 5.921
-188.078, -27.078, 5.866
-188.079, -28.242, 5.762
-188.079, -28.815, 5.702
-188.079, -29.570, 5.620
-188.080, -32.000, 5.808
-188.080, -32.783, 5.897
-188.080, -33.768, 5.899
-188.080, -34.356, 5.868
-188.081, -34.941, 5.823
-188.081, -36.095, 5.712
-188.081, -38.149, 5.522
-188.082, -38.709, 5.657
-188.082, -39.286, 5.819
-188.082, -39.874, 5.896
-188.082, -41.058, 5.909
-188.082, -41.647, 5.878
-188.083, -42.233, 5.833
-188.083, -43.388, 5.721
-188.084, -45.818, 5.601
-188.084, -46.390, 5.784
-188.084, -48.752, 5.896
-188.085, -49.339, 5.855
-188.085, -49.922, 5.804
-188.085, -51.449, 5.644
-188.085, -52.010, 5.581
-188.085, -52.565, 5.520
-188.086, -54.068, 5.811
-188.086, -54.655, 5.887
-188.086, -55.246, 5.911
-188.087, -56.426, 5.870
-188.087, -57.011, 5.826
-188.087, -57.591, 5.772
-188.087, -58.734, 5.653
-188.088, -61.164, 5.778
-188.088, -61.749, 5.879
-188.088, -63.326, 5.902
-188.089, -64.110, 5.851
-188.089, -65.078, 5.762
-188.089, -65.651, 5.702
-188.089, -66.219, 5.640
-188.089, -66.779, 5.577
-188.089, -67.334, 5.516
-188.090, -68.836, 5.807
-188.090, -69.423, 5.884
-188.090, -70.013, 5.908
-188.090, -70.604, 5.898
-188.091, -71.777, 5.812
-188.091, -72.337, 5.259
-188.093, -75.975, 5.483
-188.104, -76.551, 5.939
-188.119, -77.159, 6.228
-188.199, -78.417, 6.389
-188.263, -79.049, 6.376
-188.365, -79.886, 6.279
-188.518, -80.702, 6.150
-188.750, -81.688, 6.011
-188.913, -82.261, 5.904
-189.106, -82.812, 5.824
-189.387, -83.525, 5.728
-189.704, -84.206, 5.604
-190.060, -84.853, 5.555
-190.347, -85.334, 5.686
